,Real classes,KNN,Logistic Regression,Decision Tree,Random Forest,SVM,GNBC,BNBC
118,2,2,2,2,2,2,2,2
119,3,3,3,3,3,3,3,3
120,5,5,5,5,5,5,5,5
121,8,8,8,8,8,8,8,8
122,7,7,7,7,7,7,7,7
123,8,8,8,8,8,8,8,8
124,6,6,6,6,6,6,6,6
125,7,7,7,7,7,7,7,7
126,9,9,9,9,9,9,9,9
127,4,4,4,4,4,4,4,4
128,6,6,6,6,6,6,6,6
129,6,6,6,6,6,6,6,6
130,5,5,5,5,5,5,5,5
131,1,1,1,1,1,1,1,1
132,6,6,6,6,6,6,6,6
133,1,1,1,1,1,1,1,1
134,2,2,2,2,2,2,2,5
135,6,6,6,6,6,6,6,6
136,8,8,8,8,8,8,8,8
137,5,5,5,5,5,5,5,5
138,9,9,9,9,9,9,9,9
139,4,4,4,4,4,4,4,4
140,4,4,4,4,4,4,4,4
141,1,1,1,1,1,1,1,1
142,0,0,0,0,0,0,0,0
143,7,7,7,7,7,7,7,7
144,5,5,5,5,5,5,5,5
145,8,8,8,8,8,8,8,8
146,9,9,9,9,9,9,9,9
147,9,9,9,9,9,9,9,9
148,0,0,0,0,0,0,0,0
149,6,6,6,6,6,6,6,6
150,9,9,9,9,9,9,9,9
151,4,4,4,4,4,4,4,4
152,4,4,4,4,4,4,4,4
153,7,7,7,7,7,7,7,7
154,9,9,9,9,9,9,9,9
155,2,2,2,2,2,2,2,2
156,3,3,3,3,3,3,3,3
157,9,9,9,9,9,9,9,9
158,4,4,4,4,4,4,4,4
159,5,5,5,5,5,5,3,3
160,5,5,5,5,5,5,5,5
161,1,1,1,1,1,1,1,1
162,7,9,7,7,7,7,7,7
163,5,5,5,5,5,5,5,5
164,4,4,4,4,4,4,3,3
165,3,3,3,3,3,3,3,3
166,1,1,1,1,1,1,1,1
167,9,9,9,9,9,9,9,9
168,0,0,0,0,0,0,0,0
169,9,9,9,9,9,9,9,9
170,0,0,0,0,0,0,0,0
171,4,4,4,4,4,4,4,7
172,5,5,5,5,5,5,5,5
173,3,3,3,3,3,3,3,3
174,2,2,2,2,2,2,2,2
175,3,3,3,3,3,3,3,3
176,6,6,6,6,6,6,6,6
177,5,5,5,5,5,5,5,5
178,8,8,8,8,8,8,8,8
179,3,5,3,3,3,3,5,5
180,9,9,9,9,9,9,9,9
181,3,3,3,3,3,3,5,3
182,2,2,2,2,2,2,2,2
183,6,6,6,6,6,6,6,6
184,3,3,3,3,3,3,3,3
185,8,1,8,8,8,8,1,1
186,3,3,3,3,3,3,3,3
187,1,1,1,1,1,1,1,1
188,8,8,8,8,8,8,8,8
189,0,0,0,0,0,0,0,0
190,7,7,7,7,7,7,7,7
191,3,3,3,3,3,3,3,3
192,3,3,3,3,3,3,3,3
193,3,3,3,3,3,3,3,3
194,0,0,0,0,0,0,0,0
195,3,3,3,3,3,3,3,3
196,9,9,9,9,9,9,9,9
197,5,5,5,5,5,5,3,3
198,1,1,1,1,1,1,1,1
199,3,3,3,3,3,3,3,3
200,5,5,5,5,5,5,5,3
201,1,1,1,1,1,1,1,1
202,5,5,5,5,5,5,5,5
203,6,3,6,6,6,6,3,6
204,7,7,7,7,7,7,7,7
205,7,7,7,7,7,7,7,7
206,8,8,8,8,8,8,8,8
207,5,5,5,5,5,5,5,5
208,8,8,8,8,8,8,8,8
209,1,1,1,1,1,1,8,8
210,3,3,3,3,3,3,3,3
211,6,6,6,6,6,6,6,6
212,1,9,1,1,1,1,9,9
213,5,5,5,5,5,5,5,5
214,5,5,5,5,5,5,5,5
215,7,7,7,7,7,7,7,7
216,2,2,2,2,2,2,2,2
217,2,2,2,2,2,2,2,2
218,9,9,9,9,9,9,9,9
219,4,4,4,4,4,4,4,4
220,8,8,8,8,8,8,8,8
221,5,5,5,5,5,5,3,3
222,7,7,7,7,7,7,7,7
223,6,6,6,6,6,6,6,6
224,4,4,4,4,4,4,4,4
225,1,1,1,1,1,1,1,1
226,5,5,5,5,5,5,5,5
227,6,6,6,6,6,6,6,6
228,4,4,4,4,4,4,4,4
229,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0
231,7,7,7,7,7,7,7,7
232,0,0,0,0,0,0,0,0
233,3,3,3,3,3,3,3,3
234,9,9,9,9,9,9,9,9
235,8,8,8,8,8,8,8,8
236,6,6,6,6,6,6,6,6
237,6,6,6,6,6,6,6,6
238,3,3,3,3,3,3,3,3
239,5,5,5,5,5,5,5,5
240,7,7,7,7,7,7,7,7
241,1,1,1,1,1,1,1,1
242,7,7,7,7,7,7,7,7
243,2,0,2,2,2,2,0,0
244,5,5,5,5,5,5,5,5
245,8,8,8,8,8,8,8,8
246,5,5,5,5,5,5,5,5
247,6,6,6,6,6,6,6,6
248,2,2,2,2,2,2,2,2
249,7,0,7,7,7,7,3,3
250,7,7,7,7,7,7,7,7
251,6,6,6,6,6,6,6,6
252,7,7,7,7,7,7,7,5
253,1,1,1,1,1,1,1,1
254,8,8,8,8,8,8,8,8
255,1,1,1,1,1,1,1,1
256,4,4,4,4,4,4,4,4
257,6,6,6,6,6,6,6,6
258,0,0,0,0,0,0,0,0
259,6,6,6,6,6,6,6,6
260,4,4,4,4,4,4,4,4
261,0,0,0,0,0,0,0,0
262,4,4,4,4,4,4,3,3
263,2,2,2,2,2,2,2,2
264,3,2,3,3,3,3,2,3
265,5,5,5,5,5,5,5,5
266,5,5,5,5,5,5,5,5
267,2,7,2,2,2,2,2,5
268,3,3,3,3,3,3,5,5
269,0,0,0,0,0,0,0,0
270,3,3,3,3,3,3,3,3
271,1,1,1,1,1,1,1,1
272,0,0,0,0,0,0,0,0
273,4,4,4,4,4,4,4,4
274,4,4,4,4,4,4,4,4
275,3,3,3,3,3,3,3,3
276,7,7,7,7,7,7,7,7
277,9,9,9,9,9,9,9,9
278,8,8,8,8,8,8,3,3
279,1,1,1,1,1,1,1,1
280,8,8,8,8,8,8,8,8
281,9,9,9,9,9,9,9,9
282,5,5,5,5,5,5,5,5
283,3,3,3,3,3,3,3,3
284,2,2,2,2,2,2,2,2
285,5,5,5,5,5,5,5,5
286,8,8,8,8,8,8,8,8
287,3,3,3,3,3,3,3,3
288,2,2,2,2,2,2,2,2
289,7,7,7,7,7,7,7,7
290,1,1,1,1,1,1,1,1
291,2,2,2,2,2,2,2,2
292,0,0,0,0,0,0,2,3
293,9,9,9,9,9,9,9,9
294,8,8,8,8,8,8,8,8
295,0,0,0,0,0,0,0,0
296,8,8,8,8,8,8,8,8
297,7,7,7,7,7,7,7,7
298,7,7,7,7,7,7,7,7
299,0,0,0,0,0,0,0,0
300,8,8,8,8,8,8,8,8
301,5,5,5,5,5,5,5,5
302,3,3,3,3,3,3,3,3
303,9,9,9,9,9,9,9,9
304,9,9,9,9,9,9,9,9
305,2,2,2,2,2,2,2,2
306,4,4,4,4,4,4,4,4
307,7,7,7,7,7,7,5,5
308,3,3,3,3,3,3,3,3
309,5,5,5,5,5,5,5,7
310,4,4,4,4,4,4,4,4
311,6,6,6,6,6,6,3,3
312,9,9,9,9,9,9,9,9
313,6,6,6,6,6,6,6,6
314,4,4,4,4,4,4,4,4
315,3,3,3,3,3,3,3,3
316,9,9,9,9,9,9,9,9
317,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0
319,9,9,9,9,9,9,9,9
320,2,2,2,2,2,2,2,2
321,2,2,2,2,2,2,2,2
322,7,7,7,7,7,7,7,7
323,3,3,3,3,3,3,3,3
324,0,0,0,0,0,0,0,0
325,4,2,4,4,4,4,4,4
326,0,1,0,0,0,0,0,0
327,1,1,1,1,1,1,1,1
328,6,6,6,6,6,6,6,6
329,5,5,5,5,5,5,5,5
330,6,6,6,6,6,6,6,6
331,4,4,4,4,4,4,4,4
332,9,9,9,9,9,9,9,9
333,1,1,1,1,1,1,1,1
334,8,8,8,8,8,8,8,8
335,4,4,4,4,4,4,4,4
336,7,7,7,7,7,7,7,7
337,9,9,9,9,9,9,9,9
338,8,8,8,8,8,8,8,8
339,8,8,8,8,8,8,8,8
340,4,4,4,4,4,4,4,4
341,1,1,1,1,1,1,1,1
342,6,6,6,6,6,6,6,6
343,3,3,3,3,3,3,3,5
344,4,4,4,4,4,4,4,4
345,3,3,3,3,3,3,5,5
346,6,6,6,6,6,6,6,6
347,2,2,2,2,2,2,2,2
348,0,0,0,0,0,0,0,0
349,7,7,7,7,7,7,7,7
350,2,2,2,2,2,2,2,2
351,6,6,6,6,6,6,6,6
352,7,7,7,7,7,7,7,7
353,3,3,3,3,3,3,3,3
354,5,5,5,5,5,5,5,5
355,2,2,2,2,2,2,4,4
356,9,9,9,9,9,9,9,9
357,7,7,7,7,7,7,7,7
358,3,3,3,3,3,3,3,3
359,3,3,3,3,3,3,3,3
360,0,0,0,0,0,0,0,0
361,2,2,2,2,2,2,2,2
362,6,6,6,6,6,6,3,3
363,7,7,7,7,7,7,7,7
364,3,3,3,3,3,3,3,3
365,4,4,4,4,4,4,3,4
366,9,9,9,9,9,9,9,9
367,4,4,4,4,4,4,4,4
368,9,9,9,9,9,9,9,9
369,4,4,4,4,4,4,6,6
370,6,6,6,6,6,6,3,3
371,6,6,6,6,6,6,6,6
372,0,0,0,0,0,0,0,0
373,3,4,3,3,3,3,3,3
374,1,1,1,1,1,1,1,1
375,9,9,9,9,9,9,9,9
376,3,3,3,3,3,3,3,3
377,0,0,0,0,0,0,8,8
378,5,5,5,5,5,5,5,5
379,5,5,4,5,5,5,5,5
380,1,1,1,1,1,1,1,1
381,2,2,2,2,2,2,2,2
382,9,9,9,9,9,9,9,9
383,6,6,6,6,6,6,6,6
384,6,6,6,6,6,6,6,6
385,3,3,3,3,3,3,3,3
386,4,4,4,4,4,4,4,4
387,3,3,3,3,3,3,3,3
388,5,5,5,5,5,5,5,5
389,2,2,2,2,2,2,2,2
390,6,6,6,6,6,6,6,6
391,6,6,6,6,6,6,6,6
392,4,4,4,4,4,4,4,4
393,5,5,5,5,5,5,5,5
394,3,3,3,3,3,3,3,3
395,0,0,0,0,0,0,0,0
396,4,4,4,4,4,4,4,4
397,2,2,2,2,2,2,2,2
398,0,0,0,0,0,0,0,0
399,2,2,2,2,2,2,2,2
400,5,5,5,5,5,5,5,5
401,7,7,7,7,7,7,7,7
402,8,8,8,8,8,8,8,8
403,1,1,1,1,1,1,1,1
404,5,5,5,5,5,5,5,5
405,9,9,9,9,9,9,9,9
406,5,5,5,5,5,5,5,5
407,4,4,4,4,4,4,4,4
408,6,6,6,6,6,6,3,3
409,5,5,5,5,5,5,5,5
410,4,4,4,4,4,4,6,6
411,7,7,7,7,7,7,7,7
412,2,2,2,2,2,2,4,4
413,7,7,7,7,7,7,7,7
414,6,6,6,6,6,6,6,6
415,8,0,8,8,8,0,0,0
416,7,7,7,7,7,7,7,7
417,7,7,7,7,7,7,7,7
418,7,7,7,7,7,7,7,7
419,5,5,5,5,5,5,5,5
420,2,2,2,2,2,2,2,2
421,3,3,3,3,3,3,3,3
422,3,3,3,3,3,3,3,3
423,1,1,1,1,1,1,1,1
424,0,0,0,0,0,0,0,0
425,1,1,1,1,1,1,1,1
426,8,8,8,8,8,8,8,8
427,4,4,4,4,4,4,4,4
428,9,9,9,9,9,9,9,9
429,7,7,7,7,7,7,7,7
430,8,8,8,8,8,8,8,8
431,9,9,9,9,9,9,9,9
432,8,8,8,8,8,8,8,8
433,8,8,8,8,8,8,8,8
434,4,4,4,4,4,4,4,7
435,2,2,2,2,2,2,2,2
436,4,4,4,4,4,4,5,5
437,8,8,8,8,8,8,8,8
438,9,9,9,9,9,9,9,9
439,0,0,0,0,0,0,0,0
440,8,8,8,8,8,8,8,8
441,7,7,7,7,7,7,7,7
442,9,9,9,9,9,9,0,3
443,8,8,8,8,8,8,8,8
444,2,2,2,2,2,2,2,2
445,4,4,4,4,4,4,2,2
446,4,4,4,4,4,4,4,4
447,7,7,7,7,7,7,7,7
448,5,5,5,5,5,5,3,3
449,1,1,1,1,1,1,1,1
450,8,8,8,8,8,8,8,8
451,1,1,1,1,1,1,1,1
452,2,2,2,2,2,2,2,2
453,7,7,7,7,7,7,7,7
454,2,2,2,2,2,2,2,2
455,6,6,6,6,6,6,6,6
456,4,4,4,4,4,4,4,4
457,7,7,7,7,7,7,7,7
458,1,1,1,1,1,1,1,1
459,9,9,9,9,9,9,9,9
460,2,2,2,2,2,2,2,2
461,9,9,9,9,9,9,9,9
462,5,5,5,5,5,5,5,5
463,7,2,2,7,7,2,2,2
464,6,6,6,6,6,6,4,4
465,3,3,3,3,3,3,3,3
466,2,2,2,2,2,2,2,2
467,9,9,9,9,9,9,9,9
468,5,5,5,5,5,5,5,5
469,8,8,8,8,8,8,8,8
470,0,0,0,0,0,0,0,0
471,8,6,8,8,8,8,3,3
472,3,3,3,3,3,3,3,3
473,5,5,5,5,5,5,5,5
474,5,5,5,5,5,5,5,5
475,9,9,9,9,9,9,9,9
476,6,6,6,6,6,6,6,6
477,0,0,0,0,0,0,0,0
478,1,1,1,1,1,1,9,9
479,2,2,2,2,2,2,2,2
480,9,9,9,9,9,9,9,9
481,7,7,7,7,7,7,7,7
482,2,2,2,2,2,2,2,2
483,4,4,4,4,4,4,2,3
484,5,4,5,5,5,4,4,4
485,7,7,7,7,7,7,7,7
486,3,3,3,3,3,3,3,3
487,3,5,3,3,3,5,5,5
488,6,6,6,6,6,6,6,6
489,2,2,2,2,2,2,2,2
490,1,1,1,1,1,1,1,1
491,3,3,3,3,3,3,3,3
492,5,5,5,5,5,5,5,5
493,4,4,4,4,4,4,4,4
494,1,1,1,1,1,1,1,1
495,4,4,4,4,4,4,6,6
496,5,5,5,5,5,5,5,5
497,7,7,7,7,7,7,7,7
498,1,1,1,1,1,1,1,1
499,9,9,9,9,9,9,9,9
500,7,7,7,7,7,7,7,7
501,8,8,8,8,8,8,8,8
502,2,2,2,2,2,2,2,2
503,0,0,0,0,0,0,0,0
504,2,2,2,2,2,2,2,2
505,6,6,6,6,6,6,6,6
506,1,1,1,1,1,1,1,1
507,6,6,6,6,6,6,6,6
508,0,0,0,0,0,0,0,0
509,6,5,6,6,6,6,3,3
510,7,7,7,7,7,7,7,7
511,1,1,1,1,1,1,1,1
512,5,5,5,5,5,5,5,5
513,9,9,9,9,9,9,9,9
514,8,8,8,8,8,8,8,8
515,6,6,6,6,6,6,6,6
516,3,3,3,3,3,3,3,3
517,0,4,0,0,0,0,3,4
518,3,3,3,3,3,3,4,3
519,3,3,3,3,3,3,3,3
520,0,0,0,0,0,0,0,0
521,3,3,3,3,3,3,3,3
522,7,7,7,7,7,7,7,7
523,2,2,2,2,2,2,2,2
524,1,1,1,1,1,1,1,1
525,9,9,9,9,9,9,9,9
526,2,2,2,2,2,2,2,2
527,8,8,8,8,8,8,8,8
528,0,0,0,0,0,0,0,0
529,8,8,8,8,8,8,8,8
530,5,5,5,5,5,5,5,5
531,6,6,6,6,6,6,6,6
532,0,8,0,0,0,0,8,8
533,7,7,7,7,7,7,7,4
534,8,8,8,8,8,8,8,8
535,2,2,2,2,2,2,2,2
536,5,5,5,5,5,5,5,5
537,7,7,7,7,7,7,3,0
538,7,7,7,7,7,7,7,7
539,1,1,1,1,1,1,1,1
540,9,9,9,9,9,9,9,9
541,6,6,6,6,6,6,6,6
542,1,1,1,1,1,1,1,1
543,6,6,6,6,6,6,6,6
544,2,2,2,2,2,2,2,2
545,6,6,6,6,6,6,6,6
546,9,9,9,9,9,9,9,9
547,3,3,3,3,3,3,3,3
548,4,4,4,4,4,4,4,4
549,5,5,5,5,5,5,5,5
550,2,2,2,2,2,2,2,2
551,5,5,5,5,5,5,5,5
552,4,4,4,4,4,4,4,4
553,8,8,8,8,8,8,8,8
554,0,0,0,0,0,0,0,0
555,7,7,7,7,7,7,4,4
556,7,7,7,7,7,7,7,7
557,4,4,4,4,4,4,4,4
558,8,8,8,8,8,8,8,8
559,4,4,4,4,4,4,4,4
560,6,6,6,6,6,6,6,6
561,5,3,5,5,5,5,4,4
562,3,3,3,3,3,3,3,3
563,9,9,9,9,9,9,9,9
564,2,2,2,2,2,2,2,2
565,4,4,4,4,4,4,4,4
566,9,9,9,9,9,9,9,9
567,6,6,6,6,6,6,6,6
568,1,1,1,1,1,1,1,1
569,8,8,8,8,8,8,8,8
570,6,6,6,6,6,6,6,6
571,0,0,0,0,0,0,0,0
572,4,4,4,4,4,4,4,4
573,1,1,1,1,1,1,1,1
574,9,9,9,9,9,9,9,9
575,1,1,1,1,1,1,1,1
576,0,0,0,0,0,0,9,9
577,7,7,7,7,7,7,7,7
578,2,0,2,2,2,2,0,3
579,3,3,3,3,3,3,3,3
580,8,8,8,8,8,8,8,8
581,6,6,6,6,6,6,6,6
582,5,3,3,5,5,3,3,3
583,8,8,8,8,8,8,8,8
584,3,9,3,3,3,0,0,0
585,3,3,3,3,3,3,3,3
586,9,9,9,9,9,9,9,9
587,5,5,5,5,5,5,5,5
588,6,6,6,6,6,6,6,6
589,0,0,0,0,0,0,0,0
590,5,5,5,5,5,5,5,5
591,1,1,1,1,1,1,1,1
592,6,6,6,6,6,6,4,4
593,9,9,9,9,9,9,9,9
594,8,8,8,8,8,8,8,8
595,2,2,2,2,2,2,2,2
596,1,1,1,1,1,1,1,1
597,6,6,6,6,6,6,6,6
598,8,8,8,8,8,8,8,3
599,9,9,9,9,9,9,9,9
600,9,9,9,9,9,9,9,9
601,3,5,5,3,3,5,5,5
602,5,5,5,5,5,5,5,5
603,8,1,8,8,8,8,1,1
604,5,5,5,5,5,5,5,5
605,9,9,9,9,9,9,9,9
606,5,5,5,5,5,5,5,5
607,6,6,6,6,6,3,3,3
608,6,6,6,6,6,6,6,6
609,8,8,8,8,8,8,8,8
610,8,8,8,8,8,8,8,8
611,5,5,5,5,5,5,5,5
612,8,8,8,8,8,8,8,8
613,5,5,5,5,5,5,5,5
614,8,8,8,8,8,8,8,8
615,6,6,6,6,6,6,6,6
616,2,5,2,2,2,2,2,2
617,2,2,2,2,2,2,2,2
618,4,4,4,4,4,4,4,4
619,5,5,5,5,5,5,5,5
620,2,2,2,2,2,2,2,2
621,0,0,0,0,0,0,0,0
622,1,1,1,1,1,9,9,9
623,5,5,5,5,5,5,5,5
624,0,9,0,0,0,0,8,8
625,6,6,6,6,6,6,6,4
626,7,2,7,7,7,2,2,6
627,6,6,6,6,6,6,6,6
628,0,0,0,0,0,0,0,0
629,1,8,1,1,1,1,0,0
630,2,2,2,2,2,2,2,2
631,0,8,0,0,0,8,0,8
632,1,1,1,1,1,1,1,1
633,9,9,9,9,9,9,1,1
634,5,5,5,5,5,5,5,5
635,8,8,8,8,8,8,8,8
636,7,7,7,7,7,7,7,7
637,7,7,7,7,7,7,3,3
638,4,4,4,4,4,4,4,4
639,1,1,1,1,1,1,1,1
640,2,2,2,2,2,2,2,2
641,5,5,5,5,5,5,5,5
642,2,2,2,2,2,2,2,2
643,1,1,1,1,1,1,3,3
644,6,6,6,6,6,6,6,6
645,9,9,9,9,9,9,9,9
646,2,2,2,2,2,2,2,2
647,3,3,3,3,3,3,3,3
648,3,3,3,3,3,3,3,3
649,1,1,1,1,1,1,1,1
650,6,6,6,6,6,6,6,6
651,3,3,3,3,3,3,3,3
652,5,5,5,5,5,5,5,5
653,1,1,1,1,1,1,1,1
654,7,7,7,7,7,7,7,7
655,3,3,3,3,3,3,5,5
656,2,2,2,2,2,2,2,2
657,4,4,4,4,4,4,4,4
658,5,5,5,5,5,5,5,5
659,8,8,8,8,8,8,8,8
660,8,8,8,8,8,8,8,8
661,0,0,0,0,0,0,0,0
662,9,9,9,9,9,9,9,9
663,7,7,7,7,7,7,7,7
664,5,5,5,5,5,5,5,5
665,0,0,0,0,0,0,0,0
666,5,5,5,5,5,5,5,5
667,7,7,7,7,7,7,7,7
668,5,5,5,5,5,5,5,5
669,6,6,6,6,6,6,6,6
670,2,2,2,2,2,2,2,2
671,8,8,8,8,8,8,8,8
672,6,6,6,6,6,6,6,6
673,4,4,4,4,4,4,4,4
674,1,1,1,1,1,1,1,1
675,9,9,9,9,9,9,9,9
676,8,8,8,8,8,8,8,8
677,3,3,3,3,3,3,4,3
678,8,8,8,8,8,8,8,8
679,4,4,4,4,4,4,7,7
680,5,5,5,5,5,5,5,5
681,8,8,8,8,8,8,8,8
682,1,1,1,1,1,1,1,1
683,3,3,3,3,3,3,3,3
684,2,2,2,2,2,2,2,2
685,4,4,4,4,4,4,2,2
686,9,9,9,9,9,9,9,9
687,5,5,5,5,5,5,5,5
688,9,9,9,9,9,9,9,9
689,7,7,7,7,7,7,7,7
690,0,0,0,0,0,0,0,0
691,0,0,0,0,0,0,0,0
692,2,2,2,2,2,2,2,2
693,7,7,7,7,7,7,7,7
694,2,2,2,2,2,2,2,2
695,4,4,4,4,4,4,4,4
696,8,8,8,8,8,8,8,8
697,7,7,7,7,7,7,7,4
698,4,4,4,4,4,4,3,3
699,3,3,3,3,3,3,3,3
700,3,3,3,3,3,3,3,3
701,9,9,9,9,9,9,9,9
702,2,2,2,2,2,2,2,2
703,7,7,7,7,7,7,7,7
704,3,3,3,3,3,3,3,3
705,1,1,1,1,1,1,1,1
706,7,7,7,7,7,7,7,7
707,2,2,2,2,2,2,2,2
708,3,3,3,3,3,3,3,3
709,2,2,2,2,2,2,2,2
710,7,7,7,7,7,7,7,7
711,8,8,8,8,8,8,8,8
712,4,7,4,4,4,4,3,3
713,3,3,3,3,3,3,3,3
714,5,5,5,5,5,5,5,5
715,1,1,1,1,1,1,1,1
716,9,9,9,9,9,9,9,9
717,3,3,3,3,3,3,3,3
718,1,1,1,1,1,1,0,0
719,2,2,2,2,2,2,2,2
720,8,8,8,8,8,8,8,8
721,4,4,4,4,4,4,4,4
722,0,0,0,0,0,0,0,0
723,3,3,3,3,3,3,3,3
724,4,0,4,4,4,4,0,0
725,3,3,3,3,3,3,3,3
726,7,7,7,7,7,7,7,7
727,6,6,6,6,6,6,6,6
728,0,0,0,0,0,0,0,0
729,5,5,5,5,5,5,5,5
730,0,0,0,0,0,0,0,0
731,6,6,6,6,6,6,6,6
732,4,4,4,4,4,4,4,4
733,9,9,9,9,9,9,9,9
734,5,5,5,5,5,5,5,5
735,2,2,2,2,2,2,2,2
736,9,9,9,9,9,9,9,9
737,6,6,6,6,6,6,6,6
738,4,4,4,4,4,4,4,4
739,2,2,2,2,2,2,2,2
740,7,7,7,7,7,7,7,7
741,2,2,2,2,2,2,2,2
742,4,4,4,4,4,4,4,4
743,3,3,3,3,3,3,3,3
744,3,3,3,3,3,3,3,3
745,0,0,0,0,0,0,0,0
746,9,9,9,9,9,9,9,9
747,5,5,5,5,5,5,5,5
748,7,7,7,7,7,7,7,7
749,0,0,0,0,0,0,0,0
750,0,8,0,0,0,8,8,8
751,0,0,0,0,0,0,0,0
752,4,4,4,4,4,4,4,4
753,0,0,0,0,0,0,0,0
754,5,5,5,5,5,5,5,5
755,2,2,2,2,2,2,2,2
756,9,9,9,9,9,9,9,9
757,9,9,9,9,9,9,1,1
758,5,5,5,5,5,5,5,5
759,1,1,1,1,1,1,9,9
760,0,0,0,0,0,0,0,0
761,3,3,3,3,3,3,3,3
762,3,3,3,3,3,3,3,3
763,4,4,4,4,4,4,4,4
764,1,1,1,1,1,1,1,1
765,0,0,0,0,0,0,0,0
766,1,1,1,1,1,1,1,1
767,2,2,2,2,2,2,2,2
768,4,4,4,4,4,4,4,4
769,3,3,3,3,3,3,3,3
770,6,6,6,6,6,6,6,6
771,2,2,2,2,2,2,3,3
